"";"Funcao";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"1";"01 - Legislativa";0,0064;0,0069;0,0066;0,0063;0,0065;0,0064;0,0062;0,0065;0,0057;0,0051;0,0048;0,0053;0,0048;0,0054;0,0053;0,0053
"2";"02 - Judiciária";0,0123;0,0124;0,0121;0,0121;0,0128;0,0125;0,0118;0,0126;0,0108;0,0103;0,0098;0,0094;0,0097;0,0107;0,0107;0,0109
"3";"03 - Essencial à Justiça";0,0021;0,0022;0,003;0,0031;0,0033;0,0035;0,0043;0,0044;0,0039;0,0035;0,0031;0,003;0,0031;0,0036;0,0038;0,0038
"4";"04 - Administração";0,0205;0,0201;0,0206;0,019;0,0196;0,0219;0,0209;0,0217;0,0202;0,0182;0,0178;0,0188;0,0178;0,018;0,0169;0,017
"5";"05 - Defesa Nacional";0,0118;0,0068;0,0069;0,0077;0,0069;0,0071;0,0071;0,0079;0,0082;0,0073;0,0076;0,007;0,0069;0,0068;0,0098;0,0104
"6";"06 - Segurança Pública";0,0111;0,0132;0,0121;0,0123;0,0132;0,0133;0,0132;0,0145;0,0127;0,0123;0,0109;0,0104;0,0115;0,0134;0,0136;0,0135
"7";"07 - Relações Exteriores";0,0012;7e-04;7e-04;7e-04;6e-04;5e-04;6e-04;5e-04;5e-04;4e-04;5e-04;4e-04;4e-04;5e-04;4e-04;4e-04
"8";"08 - Assistência Social";0,0087;0,0082;0,0097;0,0099;0,0118;0,0121;0,0123;0,0132;0,0134;0,0135;0,0148;0,0154;0,0151;0,0156;0,0157;0,0161
"9";"09 - Previdência Social";0,0979;0,0983;0,0999;0,1019;0,1042;0,1019;0,1015;0,1084;0,1035;0,1022;0,1046;0,1037;0,1068;0,1148;0,1225;0,1278
"10";"10 - Saúde";0,0369;0,0413;0,043;0,0427;0,0443;0,0458;0,0459;0,0498;0,0472;0,0454;0,0459;0,0474;0,0461;0,0513;0,0501;0,052
"11";"11 - Trabalho";0,014;0,0061;0,0059;0,0063;0,0073;0,0077;0,0077;0,0093;0,0085;0,0087;0,0092;0,0128;0,0127;0,0115;0,0119;0,0112
"12";"12 - Educação";0,0378;0,047;0,0412;0,0407;0,0421;0,0452;0,047;0,0508;0,0496;0,0496;0,0484;0,0511;0,0488;0,0544;0,052;0,0534
"13";"13 - Cultura";0,0016;0,0012;0,0011;0,0013;0,0014;0,0015;0,0017;0,0018;0,0018;0,0016;0,0016;0,0017;0,0015;0,0014;0,0013;0,0013
"14";"14 - Direitos da Cidadania";9e-04;0,0013;0,0014;0,0015;0,0017;0,0017;0,0018;0,002;0,0019;0,0018;0,0019;0,0021;0,0021;0,002;0,0023;0,0021
"15";"15 - Urbanismo";0,0083;0,0086;0,0087;0,0075;0,0089;0,0102;0,011;0,01;0,0108;0,0095;0,0102;0,0099;0,0099;0,0099;0,0092;0,0087
"16";"16 - Habitação";0,001;0,001;0,0012;0,0013;0,0015;0,0012;0,0017;0,0018;0,0017;0,0016;0,0014;0,0012;9e-04;9e-04;8e-04;7e-04
"17";"17 - Saneamento";0,0039;0,0031;0,0028;0,0026;0,0032;0,0036;0,004;0,004;0,0036;0,003;0,0032;0,0036;0,0028;0,0029;0,0025;0,0025
"18";"18 - Gestão Ambiental";0,0023;0,0021;0,002;0,0022;0,0019;0,0024;0,0024;0,0025;0,0023;0,0021;0,0024;0,0027;0,0025;0,0022;0,0023;0,002
"19";"19 - Ciência e Tecnologia";0,0015;0,0017;0,002;0,0022;0,0022;0,0023;0,0022;0,0026;0,0026;0,0023;0,0023;0,0026;0,0022;0,0021;0,0018;0,0017
"20";"20 - Agricultura";0,0055;0,0057;0,0056;0,0056;0,0059;0,0059;0,005;0,0064;0,0055;0,0051;0,0048;0,0054;0,0047;0,0051;0,0055;0,0049
"21";"21 - Organização Agrária";0,001;9e-04;0,0014;0,0017;0,0018;0,0018;0,0015;0,0015;0,0011;0,001;0,0013;0,0015;8e-04;5e-04;5e-04;5e-04
"22";"22 - Indústria";0,0014;0,001;0,0013;0,0013;0,0014;0,0015;0,0012;0,0011;9e-04;8e-04;7e-04;7e-04;7e-04;6e-04;5e-04;5e-04
"23";"23 - Comércio e Serviços";0,0024;0,0022;0,0017;0,002;0,0019;0,0019;0,0021;0,0022;0,0018;0,0016;0,0016;0,0017;0,0015;0,0013;0,001;0,001
"24";"24 - Comunicações";0,0025;6e-04;5e-04;4e-04;4e-04;5e-04;5e-04;5e-04;6e-04;4e-04;5e-04;6e-04;4e-04;4e-04;4e-04;4e-04
"25";"25 - Energia";0,0056;0,0028;7e-04;8e-04;0,0011;6e-04;5e-04;6e-04;4e-04;4e-04;5e-04;6e-04;4e-04;5e-04;5e-04;5e-04
"26";"26 - Transporte";0,0193;0,0084;0,009;0,0106;0,0099;0,0119;0,0127;0,0146;0,015;0,0118;0,0112;0,0116;0,0107;0,0095;0,0086;0,0085
"27";"27 - Desporto e Lazer";8e-04;8e-04;8e-04;8e-04;0,0012;0,0015;0,0013;0,0011;0,0012;0,0013;0,0013;0,0019;0,0014;0,0012;0,001;8e-04
"28";"28 - Encargos Especiais";0,3186;0,3946;0,3442;0,3854;0,3589;0,3131;0,2746;0,2806;0,2471;0,2468;0,2393;0,211;0,2485;0,2413;0,2584;0,2234
