"";"nome_fun";"funcao";"valor"
"1";"Legislativa";"01 - Legislativa";17013460491,94
"2";"Judiciária";"02 - Judiciária";44539083880,25
"3";"Essencial à Justiça";"03 - Essencial à Justiça";21567755009,27
"4";"Administração";"04 - Administração";32625711506,46
"5";"Defesa Nacional";"05 - Defesa Nacional";NA
"6";"Segurança Pública";"06 - Segurança Pública";82964948009,85
"7";"Relações Exteriores";"07 - Relações Exteriores";NA
"8";"Assistência Social";"08 - Assistência Social";5386755251,56
"9";"Previdência Social";"09 - Previdência Social";171305989905,27
"10";"Saúde";"10 - Saúde";105476667906,81
"11";"Trabalho";"11 - Trabalho";931897654,38
"12";"Educação";"12 - Educação";119283455046,63
"13";"Cultura";"13 - Cultura";2376754059,48
"14";"Direitos da Cidadania";"14 - Direitos da Cidadania";13637947029,65
"15";"Urbanismo";"15 - Urbanismo";4734248415,2
"16";"Habitação";"16 - Habitação";1575059998,61
"17";"Saneamento";"17 - Saneamento";2176976168,62
"18";"Gestão Ambiental";"18 - Gestão Ambiental";4366513786,02
"19";"Ciência e Tecnologia";"19 - Ciência e Tecnologia";3645478415,55
"20";"Agricultura";"20 - Agricultura";6804484232,46
"21";"Organização Agrária";"21 - Organização Agrária";209803401,85
"22";"Indústria";"22 - Indústria";883744011,26
"23";"Comércio e Serviços";"23 - Comércio e Serviços";2030221638,89
"24";"Comunicações";"24 - Comunicações";735577085,46
"25";"Energia";"25 - Energia";117136129,35
"26";"Transporte";"26 - Transporte";22678642226,2
"27";"Desporto e Lazer";"27 - Desporto e Lazer";935350829,66
"28";"Encargos Especiais";"28 - Encargos Especiais";182995843691,39
