Conta DCA;Imposto;Ente;Valor
            1.1.1.1.01.00.00 - Imposto sobre a Importação - II ;Imposto de Importação;União;32524922070,23
            1.1.1.1.02.00.00 - Imposto sobre a Exportação - IE ;Imposto de Exportação;União;26319324,65
            1.1.1.2.01.00.00 - Imposto sobre a Propriedade Territorial Rural - ITR ;ITR;União;1337105096,62
"            1.1.1.2.02.00.00 - Imposto sobre a Propriedade Predial e Territorial 
            Urbana – IPTU ";IPTU;Municípios;33736416578,56
            1.1.1.2.04.00.00 - Imposto sobre a Renda e Proventos de Qualquer Natureza – IR ;IR;União;359903996237,61
            1.1.1.2.05.00.00 - Imposto sobre a Propriedade de Veículos Automotores – IPVA ;IPVA;Estados;38525206967,94
"            1.1.1.2.07.00.00 - Imposto sobre Transmissão ""Causa Mortis"" e Doação de Bens e Direitos – ITCD ";ITCD;Estados;7049247930,24
"            1.1.1.2.08.00.00 - Imposto sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis – ITBI ";ITBI;Municípios;9664137512,44
            1.1.1.3.01.00.00 - Imposto sobre Produtos Industrializados - IPI ;IPI;União;48474366992,86
            1.1.1.3.02.00.00 - Imposto sobre Op. Relativas à Circulação de Mercadorias e sobre Prest.de Serv.de Transp. Interest.e Interm. e de Comunicação – ICMS ;ICMS;Estados;436679642061,11
            1.1.1.3.03.00.00 - Imposto sobre Operações de Crédito, Câmbio e Seguro, ou Relativas a Títulos ou Valores Mobiliários – IOF ;IOF;União;34543198160,71
            1.1.1.3.05.00.00 - Imposto sobre Serviços de Qualquer Natureza – ISSQN ;ISS;Municípios;52918818419,96
