src;trg;nivel acima;nível abaixo;ente;valor;;
;;Ativo;Ativo Circulante;União;1.278.623 ;;só precisa agora numerar os links, em quatro níveis, e fazer uns left_join para popular os números dos nós e as cores dos links.
;;Ativo;Ativo Não Circulante;União;3.065.737 ;;
;;Ativo;Ativo Circulante;Estados;275.838 ;;
;;Ativo;Ativo Não Circulante;Estados;1.065.410 ;;
;;Ativo;Ativo Circulante;Municípios;239.850 ;;
;;Ativo;Ativo Não Circulante;Municípios;618.553 ;;
;;Ativo Circulante;Caixa e Equivalentes de Caixa;União;1.137.553 ;;
;;Ativo Circulante;Créditos a Curto Prazo;União;68.803 ;;
;;Ativo Circulante;Demais Créditos e Valores a Curto Prazo;União;50.531 ;;
;;Ativo Circulante;Investimentos e Aplicações Temporárias a Curto Prazo;União;2.031 ;;
;;Ativo Circulante;Estoques;União;19.599 ;;
;;Ativo Circulante;Ativo Não Circulante Mantido para Venda;União;78 ;;
;;Ativo Circulante;VPD Pagas Antecipadamente;União;29 ;;
;;Ativo Circulante;Caixa e Equivalentes de Caixa;Estados;110.361 ;;
;;Ativo Circulante;Créditos a Curto Prazo;Estados;47.268 ;;
;;Ativo Circulante;Demais Créditos e Valores a Curto Prazo;Estados;80.170 ;;
;;Ativo Circulante;Investimentos e Aplicações Temporárias a Curto Prazo;Estados;23.996 ;;
;;Ativo Circulante;Estoques;Estados;11.008 ;;
;;Ativo Circulante;Ativo Não Circulante Mantido para Venda;Estados;8 ;;
;;Ativo Circulante;VPD Pagas Antecipadamente;Estados;3.027 ;;
;;Ativo Circulante;Caixa e Equivalentes de Caixa;Municípios;88.195 ;;
;;Ativo Circulante;Créditos a Curto Prazo;Municípios;52.865 ;;
;;Ativo Circulante;Demais Créditos e Valores a Curto Prazo;Municípios;17.185 ;;
;;Ativo Circulante;Investimentos e Aplicações Temporárias a Curto Prazo;Municípios;74.457 ;;
;;Ativo Circulante;Estoques;Municípios;6.562 ;;
;;Ativo Circulante;Ativo Não Circulante Mantido para Venda;Municípios;447 ;;
;;Ativo Circulante;VPD Pagas Antecipadamente;Municípios;138 ;;
;;Ativo Não Circulante;Realizável a Longo Prazo;União;1.609.182 ;;
;;Ativo Não Circulante;Investimentos;União;309.365 ;;
;;Ativo Não Circulante;Imobilizado;União;1.142.713 ;;
;;Ativo Não Circulante;Intangível;União;4.472 ;;
;;Ativo Não Circulante;Diferido;União;5 ;;
;;Ativo Não Circulante;Realizável a Longo Prazo;Estados;478.992 ;;
;;Ativo Não Circulante;Investimentos;Estados;166.952 ;;
;;Ativo Não Circulante;Imobilizado;Estados;416.771 ;;
;;Ativo Não Circulante;Intangível;Estados;2.695 ;;
;;Ativo Não Circulante;Diferido;Estados;0 ;;
;;Ativo Não Circulante;Realizável a Longo Prazo;Municípios;258.816 ;;
;;Ativo Não Circulante;Investimentos;Municípios;15.441 ;;
;;Ativo Não Circulante;Imobilizado;Municípios;343.712 ;;
;;Ativo Não Circulante;Intangível;Municípios;529 ;;
;;Ativo Não Circulante;Diferido;Municípios;55 ;;
;;Realizável a Longo Prazo;Créditos a Longo Prazo;União;1.553.366 ;;
;;Realizável a Longo Prazo;Demais Créditos e Valores a Longo Prazo ;União;44.791 ;;
;;Realizável a Longo Prazo;Investimentos Temporários a Longo Prazo;União;11.025 ;;
;;Realizável a Longo Prazo;Estoques;União;0 ;;
;;Realizável a Longo Prazo;VPD Pagas Antecipadamente;União;0 ;;
;;Realizável a Longo Prazo;Créditos a Longo Prazo;Estados;331.197 ;;
;;Realizável a Longo Prazo;Demais Créditos e Valores a Longo Prazo ;Estados;143.948 ;;
;;Realizável a Longo Prazo;Investimentos Temporários a Longo Prazo;Estados;2.687 ;;
;;Realizável a Longo Prazo;Estoques;Estados;102 ;;
;;Realizável a Longo Prazo;VPD Pagas Antecipadamente;Estados;1.058 ;;
;;Realizável a Longo Prazo;Créditos a Longo Prazo;Municípios;249.536 ;;
;;Realizável a Longo Prazo;Demais Créditos e Valores a Longo Prazo ;Municípios;6.830 ;;
;;Realizável a Longo Prazo;Investimentos Temporários a Longo Prazo;Municípios;1.909 ;;
;;Realizável a Longo Prazo;Estoques;Municípios;501 ;;
;;Realizável a Longo Prazo;VPD Pagas Antecipadamente;Municípios;39 ;;
